Tumor_Barcode	Battenberg	Type	File
U6SJ7ALP	Battenberg_0	SCNA	/Users/zhangt8/NIH-Work/EAGLE_NSLC/NGSpurity/sherlock-Genome-pub/U6SJ7ALP/Battenberg_0/NGSpurity/U6SJ7ALP_SCNA.pdf
U6SJ7ALP	Battenberg_0	DPClust	/Users/zhangt8/NIH-Work/EAGLE_NSLC/NGSpurity/sherlock-Genome-pub/U6SJ7ALP/Battenberg_0/NGSpurity/U6SJ7ALP_DPClust.pdf
U6SJ7ALP	Battenberg_0	Clustering_Profile_C4	/Users/zhangt8/NIH-Work/EAGLE_NSLC/NGSpurity/sherlock-Genome-pub/U6SJ7ALP/Battenberg_0/NGSpurity/U6SJ7ALP_Clustering_Profile_C4.pdf
U6SJ7ALP	Battenberg_0	Clustering_Profile_C2	/Users/zhangt8/NIH-Work/EAGLE_NSLC/NGSpurity/sherlock-Genome-pub/U6SJ7ALP/Battenberg_0/NGSpurity/U6SJ7ALP_Clustering_Profile_C2.pdf
U6SJ7ALP	Battenberg_0	Clustering_Profile_ALL	/Users/zhangt8/NIH-Work/EAGLE_NSLC/NGSpurity/sherlock-Genome-pub/U6SJ7ALP/Battenberg_0/NGSpurity/U6SJ7ALP_Clustering_Profile_ALL.pdf
U6SJ7ALP	Battenberg_0	Clustering_Cosine_Cosmic	/Users/zhangt8/NIH-Work/EAGLE_NSLC/NGSpurity/sherlock-Genome-pub/U6SJ7ALP/Battenberg_0/NGSpurity/U6SJ7ALP_Clustering_Cosine_Cosmic.pdf
U6SJ7ALP	Battenberg_0	Clustering_Cosine	/Users/zhangt8/NIH-Work/EAGLE_NSLC/NGSpurity/sherlock-Genome-pub/U6SJ7ALP/Battenberg_0/NGSpurity/U6SJ7ALP_Clustering_Cosine.pdf
U6SJ7ALP	Battenberg_0	CCUBE	/Users/zhangt8/NIH-Work/EAGLE_NSLC/NGSpurity/sherlock-Genome-pub/U6SJ7ALP/Battenberg_0/NGSpurity/U6SJ7ALP_CCUBE.pdf
U6SJ7ALP	Battenberg_0	ccube	/Users/zhangt8/NIH-Work/EAGLE_NSLC/NGSpurity/sherlock-Genome-pub/U6SJ7ALP/Battenberg_0/ccube/U6SJ7ALP_ccube.pdf
U6SJ7ALP	Battenberg_0	tumour	/Users/zhangt8/NIH-Work/EAGLE_NSLC/NGSpurity/sherlock-Genome-pub/U6SJ7ALP/Battenberg_0/U6SJ7ALP.tumour.png
U6SJ7ALP	Battenberg_0	totalcn_chrom_plot	/Users/zhangt8/NIH-Work/EAGLE_NSLC/NGSpurity/sherlock-Genome-pub/U6SJ7ALP/Battenberg_0/U6SJ7ALP_totalcn_chrom_plot.png
U6SJ7ALP	Battenberg_0	second_nonroundedprofile	/Users/zhangt8/NIH-Work/EAGLE_NSLC/NGSpurity/sherlock-Genome-pub/U6SJ7ALP/Battenberg_0/U6SJ7ALP_second_nonroundedprofile.png
U6SJ7ALP	Battenberg_0	second_distance	/Users/zhangt8/NIH-Work/EAGLE_NSLC/NGSpurity/sherlock-Genome-pub/U6SJ7ALP/Battenberg_0/U6SJ7ALP_second_distance.png
U6SJ7ALP	Battenberg_0	second_copynumberprofile	/Users/zhangt8/NIH-Work/EAGLE_NSLC/NGSpurity/sherlock-Genome-pub/U6SJ7ALP/Battenberg_0/U6SJ7ALP_second_copynumberprofile.png
U6SJ7ALP	Battenberg_0	nonroundedprofile	/Users/zhangt8/NIH-Work/EAGLE_NSLC/NGSpurity/sherlock-Genome-pub/U6SJ7ALP/Battenberg_0/U6SJ7ALP_nonroundedprofile.png
U6SJ7ALP	Battenberg_0	germline	/Users/zhangt8/NIH-Work/EAGLE_NSLC/NGSpurity/sherlock-Genome-pub/U6SJ7ALP/Battenberg_0/U6SJ7ALP.germline.png
U6SJ7ALP	Battenberg_0	distance	/Users/zhangt8/NIH-Work/EAGLE_NSLC/NGSpurity/sherlock-Genome-pub/U6SJ7ALP/Battenberg_0/U6SJ7ALP_distance.png
U6SJ7ALP	Battenberg_0	DirichletProcessplot_with_cluster_locations_2	/Users/zhangt8/NIH-Work/EAGLE_NSLC/NGSpurity/sherlock-Genome-pub/U6SJ7ALP/Battenberg_0/dpclust/U6SJ7ALP_DPoutput_2000iters_1000burnin_seed123/U6SJ7ALP_DirichletProcessplot_with_cluster_locations_2.png
U6SJ7ALP	Battenberg_0	coverage	/Users/zhangt8/NIH-Work/EAGLE_NSLC/NGSpurity/sherlock-Genome-pub/U6SJ7ALP/Battenberg_0/U6SJ7ALP_coverage.png
U6SJ7ALP	Battenberg_0	copynumberprofile	/Users/zhangt8/NIH-Work/EAGLE_NSLC/NGSpurity/sherlock-Genome-pub/U6SJ7ALP/Battenberg_0/U6SJ7ALP_copynumberprofile.png
U6SJ7ALP	Battenberg_0	BattenbergProfile_subclones	/Users/zhangt8/NIH-Work/EAGLE_NSLC/NGSpurity/sherlock-Genome-pub/U6SJ7ALP/Battenberg_0/U6SJ7ALP_BattenbergProfile_subclones.png
