Battenberg	Tumor_Barcode	PGA	PGA_Subclonal	PGA_TETRA	PGA_LOH	PGA_Haploid_LOH	MCN	MCN_WGD	MCN_CHR	DPClust_Mutations	ASCAT_Purity	ASCAT_Ploidy	BB_Purity	BB_Ploidy	CCUBE_Purity	GOF	High_Purity	WGD_MP2_Number	WGD_MP2_Ratio	WGD_EVEN_Ratio	nWGD_CCF_MCluster	nWGD_CCF_MCluster_Detail	nWGD_Substantial_Segment	nWGD_Substantial_Segment_Detail	Super_Cluster_1	Super_Cluster_5	Super_Cluster_10	Homozoygous_Deletion	Homozoygous_Deletion2	Homozoygous_Deletion_Detail	DPCLUST_Detail	Cluster_ChrEnrich	Cluster_Signatures
Battenberg_0	NSLC-0207-T01	0.43807312460963627	0.012872625880995968	0	0.23704196842508662	0.23163305511460525	0.20644006949503105	nWGD	3	4571	0.28	1.9315031575018	0.27132	1.93815167278964	0.28516753770658704	0.942439315726459		0		0.00564695684161747	0		0		0	0	0	0	N		C2|1.01(0.57-1.15)|3752; C3|0.56(0.54-1.03)|771	C2|chr1|0.09; C3|chr7|0.10	C2|SBS5|0.85; C3|SBS5|0.74; ALL|SBS5|0.84
Battenberg_0	NSLC-0701-T01	0.7352725047661384	0.3294565389119066	0.24148357901386638	0.3162550654598774	0.1316056745899376	0.582182736319261	WGD	14	7001	0.46	2.66273628261062	0.48116	2.6352299512802	0.611207259817528	0.372194134701397		1472	0.043478260869565216	0.4441758038808787	1	nMut = 1979; Ratio = 0.28	10	chr2:242.09|chr4:189.96|chr5:131.11|chr6:28.52|chr6:14.24|chr6:42.52|chr6:32.65|chr11:50.57|chr11:80.53|chr16:43.69	0	0	0	0	N		C1|0.95(0.49-1.00)|4943; C3|0.47(0.41-0.95)|1979	C1|chr4|0.12; C3|chrX|0.14	C1|SBS5|0.82; C3|SBS5|0.78; ALL|SBS5|0.82
Battenberg_0	NSLC-0757-T01	0.7824840690772821	0.3906964196073802	0.011036612292978016	0.5675630094621669	0.081081599393533	0.7394164120376421	WGD	16	6620	0.37	2.19222721418203	0.37888	2.0426593823545	0.42123533417771253	0.435325861700836		120	0.18333333333333332	0.5203855839605082	0		8	chr1:120.81|chr1:105.65|chr8:106.25|chr9:43.21|chr10:27.72|chr12:37.16|chr15:15.02|chr21:33.45	0	0	0	0	N		C3|0.99(0.76-1.07)|5803; C4|0.44(0.43-0.98)|765	C3|chr1|0.10; C4|chrX|0.30	C3|SBS40|0.90; C4|SBS40|0.89; ALL|SBS40|0.91
Battenberg_0.80_3.37	NSLC-0757-T01	0.9516450432438801	0.740213671843181	0.26604235410144045	0.0032231832010023633	0	0.9504352039783025	WGD	22	6620	0.8	3.3683293831687	0.8392	3.8675332102282		0.124768168668545		1876	0.0037313432835820895	0.24312465206758455	0		5	chr4:190.04|chr7:48.59|chr16:21.32|chr16:12.14|chr17:28.39	0	0	0	0	N		C1|0.95(0.68-0.97)|4366; C2|0.70(0.36-0.96)|1219; C3|0.37(0.35-0.70)|981	C1|chr1|0.12; C2|chrX|0.16; C3|chrX|0.28	C1|SBS40|0.90; C2|SBS40|0.88; C3|SBS40|0.90; ALL|SBS40|0.91
Battenberg_0	NSLC-1250-T01	0.7916310344826315	0.032210893208702795	0.08475188243743824	0.1918328285323252	0.020374320692272664	0.7712567137903589	WGD	18	40108	0.62	2.99211316119402	0.60822	2.80616517674863	0.6978356110843288	0.952591786471161		0		0.22989579572227517	0		0		0	0	0	0	N		C4|1.00(0.78-1.00)|38111; C5|0.77(0.74-1.00)|1193; C6|0.29(0.27-0.77)|499	C4|chr2|0.09; C5|chr5|0.11; C6|chr2|0.08	C4|SBS4|0.90; C5|SBS40|0.86; C6|SBS40|0.76; ALL|SBS4|0.89
Battenberg_0	NSLC-0994-T01	0.6474429400900067	0.2030002284194362	0.07542082575877064	0.2636417793159508	0.08388304616721567	0.541285957274008	WGD	13	3431	0.17	2.64330808669134	0.16847	2.67651930634188	0.16606661185075294	0.519094330141842		51	0.1568627450980392	0.278771022270758	0		4	chr6:49.13|chr6:59.77|chr9:43.21|chr16:43.54	0	0	0	0	N		C3|1.04(1.03-1.05)|3395	C3|chrX|0.08	C3|SBS5|0.83; ALL|SBS5|0.83
Battenberg_0	NSLC-0461-T01	0.46827608021560724	0.07864259459487465	0.002801514077260767	0.1821442111478046	0.013603096666924672	0.4254915055311056	nWGD	9	6861	0.59	2.41738728864311	0.58764	2.35970125244529	0.6108668074391379	0.768582608346226		18	0.05555555555555555	0.13893629244292066	0		0		0	0	0	0	N	chr9:2:3.07	C2|1.01(0.68-1.02)|4766; C3|0.67(0.31-1.01)|1214; C4|0.29(0.27-0.67)|836	C2|chr1|0.09; C3|chr1|0.11; C4|chr2|0.11	C2|SBS40|0.83; C3|SBS40|0.68; C4|SBS40|0.68; ALL|SBS40|0.79
Battenberg_0	IGC-03-1254-T07	0.9493718838455627	0.1087336481764826	0.3857772030772511	0.2408927218647921	0.005271473731066776	0.9440884226425811	WGD	22	29874	0.64	3.26935315416659	0.65024	3.1300743815256		0.822678798369893		1343	0.509307520476545	0.6542526857853881	0		1	chr9:77.64	0	0	0	0	N	chr9:1:0.03	C2|0.99(0.98-0.99)|29582	C2|chr4|0.10	C2|SBS40|0.86; ALL|SBS40|0.86
Battenberg_0	NSLC-0681-T01	0.9412873739404354	0.16773823723101003	0.22757139132441248	0.307087344531873	0.015953890558833443	0.9227643873226443	WGD	22	24830	0.95	3.10689515321807	0.9519	2.95405927865744	0.932145402591124	0.791575038516743	BB_Purity	3267	0.6210590756045301	0.6152134170859652	0		0		0	0	0	0	N		C3|0.99(0.98-0.99)|23036; C4|0.75(0.46-0.99)|533; C6|0.24(0.19-0.43)|686	C3|chrX|0.11; C4|chrX|0.17; C6|chr4|0.09	C3|SBS40|0.89; C4|SBS40|0.88; C6|SBS5|0.89; ALL|SBS40|0.90
Battenberg_0	NSLC-0728-T01	0.9480335982378303	0.020726191308856237	0.1734253978274168	0.26320820207776063	0.0012859483516756078	0.9453575823185251	WGD	22	156144	0.2	4.17765559772074	0.2076	3.95680484455801		0.977888212368326		0		0.3503032478937048	0		0		1	1	1	0	N		C1|1.10(NA-NA)|155591	C1|chrX|0.11	C1|SBS4|0.92; ALL|SBS4|0.92
Battenberg_0	NSLC-1069-T01	0.7960788804758065	0.08036492336855187	0.010422881090913036	0.40050885197409647	0.09561660990313729	0.7004622705726693	WGD	18	114068	0.36	2.46945584406947	0.35676	2.45905052174161	0.4806707325275385	0.862740221017069		220	0.6818181818181818	0.27780445260227876	0		1	chr20:16.15	0	0	0	0	N	chr1:1:0.23	C2|0.96(NA-NA)|112370	C2|chr2|0.12	C2|SBS4|0.97; ALL|SBS4|0.97
Battenberg_0	NSLC-0034-T01	0.05435212951030108	0.05009438210049305	0	0.05435212951030108	0.05009438210049305	0.0033761265605340434	nWGD	0	1583	0.3	1.92025202309234	0.3	1.93244936594579	0.8193169554274955	0		0		0.004519488308337339	1	nMut = 624; Ratio = 0.39	0		3	1	1	2	Y	chr15:1:3.2|chrX:2:86.19	C2|2.80(2.14-2.90)|816; C3|1.84(1.11-2.65)|54; C4|1.13(0.48-1.84)|37; C5|0.49(0.47-0.50)|624	C2|chr2|0.10; C3|chrX|0.37; C4|chr1|0.11; C5|chr2|0.09	C2|SBS5|0.87; C3|SBS5|0.57; C4|SBS5|0.56; C5|SBS5|0.83; ALL|SBS5|0.87
Battenberg_0.84_2.00	NSLC-0034-T01	0.003202320411473146	6.472555411948892e-4	0	0.003202320411473146	0.003010235339771558	2.0251050148835365e-4	nWGD	0	1583	0.84	2	0.80052	2.05267044123326	0.8192267413308578	0.00140064111820256		0		2.1352639830040412e-4	1	nMut = 57; Ratio = 0.04	0		0	0	0	0	N		C2|1.04(0.87-1.09)|835; C3|0.48(0.18-0.80)|57; C4|0.18(0.18-0.19)|639	C2|chr2|0.10; C3|chr3|0.12; C4|chr2|0.09	C2|SBS5|0.87; C3|SBS1|0.62; C4|SBS5|0.83; ALL|SBS5|0.87
Battenberg_0	NSLC-0441-T01	0.23832042169669182	0.09396799114474418	0	0.20915132445670423	0.1564432148294809	0.08617700133516659	nWGD	1	3210	0.19	1.94022043378775	0.19361	1.91485451537005	0.26136617564852466	0.592327214862357		0		0.057877510282734475	0		1	chr7:159.25	0	0	0	0	N		C2|1.08(1.07-1.09)|3188	C2|chrX|0.09	C2|SBS5|0.87; ALL|SBS5|0.87
Battenberg_0	NSLC-0935-T01	0.9533764848559966	0.06411850796926291	0.46121617670573184	0.1319420525858073	0	0.9533764848559966	WGD	22	3171	0.4	3.93642491992116	0.3868	3.85448091492822		0.866694918563666		113	0.336283185840708	0.5688977245479219	0		2	chr12:21.57|chr12:47.81	0	0	0	0	N		C1|0.99(0.90-1.07)|2964; C2|0.44(0.41-1.01)|179	C1|chr2|0.09; C2|chr2|0.10	C1|SBS40|0.79; C2|SBS2|0.90; ALL|SBS40|0.78
Battenberg_0	NSLC-0094-T01	0.008985878867032695	0.008985878867032695	0	0.002598473038788886	0.002598473038788886	0.006734082695904743	nWGD	0	291	1	2.01317881409816	0.917	1.99368337432532	0.3457678853581173	0.00263127483487861	|ASCAT_Purity	0		0	0		0		0	0	0	0	N		C3|0.15(0.14-0.16)|254	C3|chr2|0.11	C3|SBS40|0.75; ALL|SBS40|0.77
Battenberg_0.14_2.00	NSLC-0094-T01	0.0680298513288671	0.03567458719598644	0	0.05856435957623222	0.036425536436166604	0.01301991449867483	nWGD	0	291	0.14	2	0.14448	2.26500739571728	0.34637830370127126	0.172100370714359		0		0.021651180962540283	0		1	chr12:44.11	0	0	0	1	Y	chr19:1:58.36	C2|0.97(0.93-1.02)|267	C2|chr2|0.11	C2|SBS40|0.76; ALL|SBS40|0.77
Battenberg_0	NSLC-0788-T01	0.9218208116551079	0.12241691601506875	0.10886655731020738	0.4296427706508074	0	0.9190425127712333	WGD	21	4839	0.64	3.02453818640088	0.6336	2.87310499870959	0.6983750165254086	0.669380415603682		441	0.3854875283446712	0.4313956117935166	0		1	chr13:36.63	1	1	1	0	N		C2|1.14(1.01-1.17)|1138; C3|1.01(0.85-1.14)|2670; C4|0.71(0.63-1.03)|377; C5|0.25(0.22-0.40)|593	C2|chrX|0.13; C3|chrX|0.10; C4|chr1|0.16; C5|chr4|0.19	C2|SBS40|0.88; C3|SBS40|0.84; C4|SBS40|0.78; C5|SBS40|0.83; ALL|SBS40|0.86
Battenberg_0.80_3.40	NSLC-0788-T01	0.9218208116551079	0.6080882061110398	0.10886655731020738	0.4296427706508074	0.012084129801209575	0.9063025160374159	WGD	21	4839	0.8	3.39520072209667	0.7728	3.1348077528292	0.6983750165254086	0.235404608578054		441	0.5147392290249433	0.4487463273518263	0		0		0	0	0	0	N		C2|0.99(0.87-1.02)|4183; C3|0.73(0.44-0.99)|338; C5|0.21(0.18-0.39)|211	C2|chrX|0.10; C3|chr2|0.13; C5|chr5|0.15	C2|SBS40|0.86; C3|SBS40|0.76; C5|SBS5|0.78; ALL|SBS40|0.86
Battenberg_0	NSLC-0880-T01	0.005312861314536991	0.005268197802327225	0	0.005312861314536991	0.00408902228833441	0.0012902629691199168	nWGD	0	93	1	2.00431837762518	0.945	1.99612655883724	0.46903998674563896	0.189803651395109	|ASCAT_Purity	0		0.0013372639211414567	0		0		0	0	0	0	N		C2|0.15(0.13-0.39)|61	C2|chr2|0.16	C2|SBS1|0.63; ALL|SBS5|0.59
Battenberg_0.14_2.00	NSLC-0880-T01	0.07949307988849567	0	0	0.07949307988849567	5.084306941257827e-4	0.005603634250876059	nWGD	0	93	0.14	2	0.14	2.10934776819508	0.4845693500400062	0		0		0.0845396218276761	0		0		0	0	0	4	Y	chr11:1:4.02|chr17:1:82.95|chr19:1:58.16|chr20:1:33.89|chr22:1:34.87|chr4:1:8.88	C2|1.02(0.87-2.73)|67	C2|chr2|0.15	C2|SBS1|0.62; ALL|SBS5|0.59
Battenberg_0	NSLC-0970-T01	0.0038955840246682138	0.003895527329046054	0	0.0038761722088577035	0.0038761722088577035	1.941181581051003e-5	nWGD	0	40	1	2.00036953430173	0.915	1.99964925073047	0.22124138030456192	0.0502669039145907	|ASCAT_Purity	0		0	0		0		0	0	0	0	N		C2|0.16(0.13-0.45)|33	C2|chr9|0.21	C2|SBS28|0.58; ALL|SBS5|0.58
Battenberg_0.15_2.00	NSLC-0970-T01	0.0038955840246682138	0	0	0.0038955840246682138	0	0.0038955840246682138	nWGD	0	40	0.15	2	0.15	2.28064695941901	0.22124166567404815	0.00645017793594306		0		0	0		0		0	0	0	0	N		C2|1.04(0.87-2.31)|33	C2|chr9|0.21	C2|SBS28|0.58; ALL|SBS5|0.58
Battenberg_0	NSLC-0252-T01	0.0026150412661810007	0.00226625894823299	0	0.00226722462261075	4.750563673817436e-4	0.0022561327186664355	nWGD	0	1517	1	2.00403158419265	0.95	1.99567682263662	0.4494928731695225	0.00266571885551804	|ASCAT_Purity	0		0.001964522342440461	0		0		0	0	0	0	N		C2|0.43(0.28-0.48)|122; C3|0.29(0.18-0.44)|280; C4|0.19(0.18-0.30)|1094	C2|chr2|0.11; C3|chrX|0.09; C4|chr2|0.09	C2|SBS40|0.72; C3|SBS5|0.76; C4|SBS5|0.80; ALL|SBS5|0.82
Battenberg_0.18_2.00	NSLC-0252-T01	0.00382664456787112	0.0012116033016901194	0	0.00382664456787112	0.0012116033016901194	0.0027569728013521378	nWGD	0	1517	0.1805	2	0.18772	2.26437601193113	0.449666247785307	0.00106628754220722		0		0.0022777153763639214	0		0		2	2	1	0	N		C2|2.20(1.45-2.46)|122; C3|1.48(0.94-2.22)|199; C4|0.95(0.90-1.56)|1175	C2|chr2|0.12; C3|chr4|0.10; C4|chr2|0.08	C2|SBS40|0.71; C3|SBS5|0.71; C4|SBS5|0.81; ALL|SBS5|0.82
Battenberg_0	NSLC-1207-T01	0.21767705634849913	0.02593783464033918	0	0.13848440478620988	0.12340210447144	0.09936373383248595	nWGD	1	17654	0.18	1.9270842532547099	0.17226	1.94979634614294	0.2611569898971816	0.908168185073812		0		0.014757989171311178	0		0		1	1	1	0	N		C3|1.13(1.11-1.12)|17518	C3|chrX|0.10	C3|SBS4|0.97; ALL|SBS4|0.97
Battenberg_0	NSLC-0243-T01	0.4618911134822301	0.04494042783301637	0	0.12470034991265515	0.019130859296054518	0.41391332418223326	nWGD	10	2674	0.29	2.29002510365645	0.3016	2.27084653428174	0.3654356041012724	0.905948529664615		0		0.11549033487825525	1	nMut = 69; Ratio = 0.03	0		0	0	0	0	N		C2|0.98(0.96-0.99)|2584; C3|0.48(0.43-0.98)|69	C2|chrX|0.09; C3|chr5|0.14	C2|SBS1|0.81; C3|SBS18|0.62; ALL|SBS1|0.81
Battenberg_0	IGC-08-1121-T02	0.29145187940799444	0.02901418353856049	0	0.21403947973849816	0.20961258853937048	0.08605638018163109	nWGD	0	4260	0.29	1.8132606231866	0.28072	1.7846951111587	0.36089326567002883	0.791919262389889		0		0.004896608468331352	0		0		0	0	0	0	N	chr9:1:0.65	C1|1.09(0.62-1.14)|1916; C2|0.62(0.58-1.10)|2319	C1|chr2|0.11; C2|chr1|0.10	C1|SBS40|0.81; C2|SBS2|0.76; ALL|SBS2|0.74
